city,count,coord,lat,lon
"Sacramento, CA",247,"(38.5810606, -121.4938951)",38.5810606,-121.4938951
"Salem, OR",138,"(44.9391565, -123.033121)",44.9391565,-123.033121
"Salt Lake City, UT",236,"(40.7596198, -111.8867975)",40.7596198,-111.8867975
"San Antonio, TX",89,"(29.4246002, -98.4951405)",29.4246002,-98.4951405
"San Diego, CA",294,"(32.7174202, -117.1627728)",32.7174202,-117.1627728
"San Francisco, CA",325,"(37.7790262, -122.419906)",37.7790262,-122.419906
"San Jose, CA",85,"(37.3361905, -121.890583)",37.3361905,-121.890583
"Santa Fe, NM",71,"(35.6876096, -105.9384569)",35.6876096,-105.9384569
"Seattle, WA",315,"(47.6038321, -122.3300624)",47.6038321,-122.3300624
"Spokane, WA",122,"(47.6571934, -117.4235106)",47.6571934,-117.4235106
"Springfield, MO",71,"(37.2166779, -93.2920373)",37.2166779,-93.2920373
"St. Louis, MO",204,"(38.6529545, -90.24111656024635)",38.6529545,-90.24111656
"St. Paul, MN",172,"(44.9504037, -93.1015026)",44.9504037,-93.1015026
"Syracuse, NY",72,"(43.0481221, -76.1474244)",43.0481221,-76.1474244
"Tallahassee, FL",140,"(30.4380832, -84.2809332)",30.4380832,-84.2809332
"Tampa, FL",112,"(27.9477595, -82.458444)",27.9477595,-82.458444
"Topeka, KS",78,"(39.049011, -95.677556)",39.049011,-95.677556
"Tucson, AZ",90,"(32.2228765, -110.9748477)",32.2228765,-110.9748477
"Washington, DC",535,"(38.8949924, -77.0365581)",38.8949924,-77.0365581
"Winston-Salem, NC",98,"(36.0998131, -80.2440518)",36.0998131,-80.2440518
"Wooster, OH",107,"(40.7980976, -81.9397733)",40.7980976,-81.9397733
